organism_id,ShootArea,distFromHypocotyl,chlorophyll,Root_area,tortuosity,PR_length,LR_length,plant_id
374,0.172,1.231,3.721,0.155,1.077,6.336,5,J1_20
375,0.134,1.901,2.174,0.163,1.073,6.312,7.67,J2_1
376,0.162,1.640,2.604,0.163,1.047,6.817,11,J2_2
377,0.164,1.973,2.180,0.213,1.056,5.842,12.33,J2_3
378,0.172,1.973,1.964,0.213,1.101,7.128,12.33,J2_4
379,0.096,0.950,0.985,0.230,1.082,4.425,13,J2_5
380,0.255,1.697,3.351,0.345,1.056,6.724,17,J2_6
381,0.140,1.737,1.527,0.229,1.076,6.185,13,J2_7
382,0.223,0.887,2.591,0.208,1.070,6.644,9,J2_8
383,0.047,0.432,0.446,0.122,1.067,2.7,4,J2_9
384,0.106,0.941,0.959,0.153,1.097,4.181,11,J2_10
385,0.087,2.960,0.600,0.259,1.083,9.428,13,J2_11
386,0.120,2.270,0.772,0.407,1.071,10.078,26,J2_12
387,0.129,2.377,0.641,0.328,1.083,8.239,22,J2_13
388,0.017,0.851,0.042,0.046,1.056,1.617,2,J2_14
389,0.116,2.266,1.029,0.402,1.079,7.803,24,J2_15
390,0.100,2.129,0.988,0.293,1.080,6.602,17,J2_16
391,0.124,1.973,1.461,0.213,1.080,10.014,12.33,J2_17
392,0.105,2.158,1.189,0.216,1.078,6.586,11,J2_18
393,0.103,1.901,1.078,0.163,1.113,5.849,7.67,J2_19
394,0.180,1.901,2.364,0.163,1.089,3.35,7.67,J2_20
395,0.132,1.672,2.084,0.141,1.044,6.833,9,J3_1
396,0.250,1.824,4.423,0.301,1.076,6.221,14.5,J3_2
397,0.146,1.824,2.389,0.301,1.090,7.038,14.5,J3_3
398,0.072,1.824,0.994,0.301,1.099,5.911,14.5,J3_4
399,0.165,2.561,2.763,0.210,1.112,5.239,11.5,J3_5
400,0.191,1.759,2.906,0.133,1.075,7.106,8,J3_6
401,0.058,0.538,0.849,0.068,1.123,1.889,2,J3_7
402,0.153,1.535,2.392,0.157,1.081,5.573,13,J3_8
